host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
,,1.00,48.83948,2.39067,Paris,75012,Île-de-France,3,Entire home/apt,1,1,3,70 ,20,500,1,1125,0
100%,,1.00,48.88746,2.39042,Paris,75019,Île-de-France,4,Entire home/apt,1,1,2,55 ,30,500,2,1125,40
95%,,45.00,48.86494,2.28495,Paris,75016,Île-de-France,4,Entire home/apt,2,1,2,190 ,85,500,4,7,34
,,1.00,48.87386,2.36199,Paris,75010,Île-de-France,2,Entire home/apt,1,1,2,80 ,40,90,3,1125,40
100%,,1.00,48.86437,2.35718,Paris,75003,Île-de-France,2,Entire home/apt,1,1,1,130 ,30,,4,200,23
,,1.00,48.89234,2.33808,Paris,75018,Île-de-France,3,Entire home/apt,0,1,1,80 ,0,1265,7,120,5
100%,,1.00,48.89295,2.34258,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,48 ,0,500,7,1125,15
56%,,1.00,48.85338,2.33679,Paris,75006,Île-de-France,2,Entire home/apt,1,1,1,79 ,16,290,90,1125,70
100%,,1.00,48.87719,2.33642,Paris,75009,Île-de-France,5,Entire home/apt,2,1,3,190 ,30,200,2,200,60
100%,,2.00,48.88614,2.37066,Paris,75019,Île-de-France,6,Entire home/apt,3,2,3,142 ,75,750,4,14,30
,,1.00,48.86731,2.38628,Paris,75020,Île-de-France,2,Entire home/apt,1,1,1,80 ,20,300,3,50,8
,,1.00,48.85125,2.28957,Paris,75015,Île-de-France,4,Entire home/apt,0,1,2,60 ,20,300,2,20,23
,,1.00,48.8369,2.27848,Paris,75015,Île-de-France,4,Entire home/apt,1,1,2,100 ,45,300,2,1125,0
100%,,1.00,48.83106,2.34422,Paris,75013,Île-de-France,2,Entire home/apt,2,1,2,79 ,39,0,3,1125,14
,,1.00,48.88673,2.34093,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,70 ,25,500,2,15,1
100%,,3.00,48.86392,2.35803,Paris,75003,Île-de-France,4,Entire home/apt,1,1,2,100 ,30,400,4,45,7
60%,,1.00,48.84924,2.3911,Paris,75012,Île-de-France,2,Entire home/apt,1,1,1,65 ,30,200,3,7,5
100%,,13.00,48.86381,2.33917,Paris,75001,Paris province,4,Entire home/apt,1,1,1,141 ,60,300,3,1125,12
100%,,1.00,48.88763,2.35564,Paris,75018,Île-de-France,4,Entire home/apt,0,1,2,67 ,25,,2,1125,95
100%,,2.00,48.86954,2.35258,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,89 ,40,3000,5,15,49
100%,,2.00,48.85706,2.30511,Paris,75007,Île-de-France,1,Private room,1,1,1,60 ,,100,3,30,273
,,2.00,48.86307,2.3629,Paris,75003,Île-de-France,2,Entire home/apt,0,1,1,70 ,50,,270,1125,35
100%,,1.00,48.86033,2.37694,Paris,75011,Île-de-France,4,Entire home/apt,2,1,2,160 ,60,500,3,1125,9
100%,,2.00,48.84855,2.2666,Paris,75016,Île-de-France,5,Entire home/apt,3,1.5,5,250 ,30,,1,1125,0
100%,,7.00,48.8574,2.28202,Paris,75016,Île-de-France,2,Entire home/apt,1,1,1,59 ,25,150,1,1125,220
,,1.00,48.83819,2.40425,Paris,75012,Île-de-France,2,Entire home/apt,0,1,1,65 ,,600,3,1125,1
97%,,1.00,48.84102,2.33336,Paris,75006,Île-de-France,1,Private room,1,1,1,56 ,30,700,2,30,196
90%,,5.00,48.86623,2.34797,Paris,75002,Île-de-France,4,Entire home/apt,1,1,1,160 ,60,,6,1125,44
,,1.00,48.82399,2.36214,Paris,75013,Île-de-France,2,Entire home/apt,1,1,1,69 ,20,700,3,90,2
100%,,1.00,48.83946,2.29248,Paris,75015,Île-de-France,4,Entire home/apt,2,2,2,180 ,50,100,4,8,75
90%,,1.00,48.89364,2.33955,Paris,75018,Île-de-France,5,Entire home/apt,2,1,3,110 ,20,350,2,10,34
,,1.00,48.89193,2.33815,Paris,75018,Île-de-France,3,Entire home/apt,0,1,1,35 ,,250,6,1000,21
80%,,1.00,48.88334,2.32577,Paris,75017,Île-de-France,2,Entire home/apt,1,1,2,69 ,20,,4,365,9
100%,,1.00,48.84557,2.31079,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,60 ,20,300,4,30,24
,,1.00,48.83086,2.35459,Paris,75013,Île-de-France,2,Entire home/apt,1,1,1,52 ,20,500,1,1125,2
,,1.00,48.87584,2.3507,Paris,75010,Île-de-France,4,Entire home/apt,1,1,2,150 ,50,1000,1,1125,1
,,1.00,48.85714,2.38193,Paris,,Île-de-France,2,Entire home/apt,1,1,1,38 ,20,1500,5,1125,2
100%,,1.00,48.87141,2.36269,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,60 ,30,300,7,14,55
100%,,1.00,48.86864,2.39224,Paris,75020,IDF,2,Private room,1,1,0,60 ,,250,3,21,244
,,1.00,48.85984,2.28034,Paris,75116,Ile de France,2,Private room,1,1,1,45 ,10,,1,1125,1
,,2.00,48.88616,2.32789,Paris,75018,Île-de-France,2,Entire home/apt,0,1,1,60 ,,,6,1125,2
100%,,1.00,48.88097,2.35705,Paris,75010,Île-de-France,4,Entire home/apt,1,1,2,115 ,30,500,4,1125,118
,,1.00,48.88689,2.31034,Paris,75017,Île-de-France,4,Entire home/apt,1,1,2,60 ,10,,1,1125,0
80%,,1.00,48.85312,2.38908,Paris,75011,Île-de-France,6,Entire home/apt,3,2,3,350 ,100,3000,2,1125,4
98%,,27.00,48.87354,2.35157,Paris,75010,Île-de-France,4,Entire home/apt,2,2,3,250 ,70,400,4,30,45
100%,,1.00,48.89361,2.32575,Paris,75017,Île-de-France,4,Entire home/apt,1,1,2,99 ,30,1000,2,21,47
100%,,1.00,48.87346,2.37567,Paris,75019,Île-de-France,2,Entire home/apt,0,1,1,45 ,,,5,1125,26
,,1.00,48.88839,2.36143,Paris,75018,Île-de-France,2,Entire home/apt,0,1,1,35 ,,300,4,1125,6
,,1.00,48.85685,2.27815,Paris,75016,Île-de-France,2,Entire home/apt,0,1,1,140 ,,,1,1125,3
80%,,1.00,48.89475,2.33486,Paris,75018,Île-de-France,3,Entire home/apt,1,1,1,64 ,0,500,3,60,33
100%,,1.00,48.84709,2.3982,Paris,75012,Île-de-France,2,Private room,1,1,0,55 ,20,0,2,14,181
,,1.00,48.86972,2.39321,Paris,75020,Île-de-France,3,Entire home/apt,1,1,1,65 ,15,0,4,10,0
60%,,1.00,48.87597,2.37833,Paris,,Île-de-France,2,Entire home/apt,0,1,1,48 ,20,0,2,14,27
94%,,6.00,48.85515,2.379,Paris,75011,Île-de-France,4,Entire home/apt,2,1,2,130 ,50,450,4,1125,3
69%,,10.00,48.8625,2.30348,Paris,75007,Île-de-France,2,Entire home/apt,1,1,1,150 ,60,300,7,30,12
100%,,3.00,48.86029,2.37238,Paris,75011,Île-de-France,2,Entire home/apt,0,1,1,59 ,35,200,2,365,203
,,1.00,48.87205,2.34411,Paris,75009,Île-de-France,4,Entire home/apt,1,1.5,2,15 ,,,1,1125,0
75%,,1.00,48.86392,2.36852,Paris,75003,Île-de-France,4,Entire home/apt,1,1,2,90 ,60,300,3,1125,219
100%,,1.00,48.85293,2.40693,Paris,75020,Île-de-France,4,Entire home/apt,1,1,2,69 ,40,300,4,40,26
80%,,9.00,48.85619,2.30929,Paris,75007,Île-de-France,1,Entire home/apt,0,1,1,107 ,50,300,15,1125,72
,,3.00,48.8607,2.35255,Paris,75003,Île-de-France,3,Entire home/apt,0,1,2,121 ,45,200,2,20,0
100%,,1.00,48.88126,2.28495,Paris,75017,Île-de-France,4,Entire home/apt,2,1,3,120 ,0,400,3,1124,52
,,1.00,48.84613,2.38173,Paris,75012,Île-de-France,2,Entire home/apt,1,1,1,75 ,64,,3,1125,0
100%,,1.00,48.84147,2.33247,Paris,75006,Île-de-France,4,Entire home/apt,1,1.5,0,120 ,30,,2,1125,54
100%,,1.00,48.87068,2.37759,Paris,75011,Île-de-France,3,Entire home/apt,2,1,2,130 ,0,300,4,21,77
100%,,1.00,48.8799,2.34154,Paris,75009,Île-de-France,4,Entire home/apt,3,1,2,120 ,20,300,3,5,69
,,1.00,48.85881,2.36077,Paris,75003,Île-de-France,2,Entire home/apt,1,1,1,110 ,10,200,5,50,21
100%,,1.00,48.87342,2.38185,Paris,75019,Île-de-France,2,Entire home/apt,1,1,1,60 ,,150,2,1125,21
100%,,1.00,48.86666,2.35037,Paris,75002,Île-de-France,4,Entire home/apt,1,1,2,117 ,0,400,4,1125,17
,,1.00,48.89054,2.30145,Paris,75017,Île-de-France,5,Entire home/apt,2,1.5,3,109 ,20,,4,1125,2
100%,,1.00,48.84665,2.35213,Paris,75005,Île-de-France,2,Entire home/apt,1,1,1,129 ,40,500,3,30,62
,,1.00,48.86874,2.36817,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,55 ,,200,2,1125,22
,,1.00,48.89228,2.32099,Paris,75017,Île-de-France,2,Entire home/apt,1,1,1,57 ,25,200,5,365,1
50%,,1.00,48.86727,2.29548,Paris,75116,Île-de-France,4,Entire home/apt,1,1,1,140 ,50,0,5,180,12
100%,,1.00,48.86564,2.37134,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,75 ,30,300,3,1125,31
100%,,2.00,48.86951,2.37031,Paris,75010,Île-de-France,2,Entire home/apt,0,1,1,64 ,20,0,3,1125,98
,,2.00,48.85325,2.39825,Paris,75020,IDF,2,Entire home/apt,0,1,0,40 ,20,500,2,15,6
100%,,6.00,48.86502,2.35112,Paris-2E-Arrondissement,75002,Île-de-France,4,Entire home/apt,1,1,1,80 ,90,,1,1125,218
100%,,1.00,48.8412,2.36129,Paris,75005,Île-de-France,2,Entire home/apt,1,1.5,1,125 ,50,2500,5,1125,14
86%,,4.00,48.86717,2.35882,Paris,75003,Île-de-France,2,Entire home/apt,0,1,1,70 ,,400,3,1125,160
,,2.00,48.87458,2.40254,Paris,75020,Île-de-France,2,Entire home/apt,0,1,1,30 ,5,200,15,1125,8
100%,,4.00,48.83783,2.34831,Paris,75005,Île-de-France,4,Entire home/apt,1,1,2,82 ,60,0,2,30,84
88%,,1.00,48.87591,2.3918,Paris,75019,Île-de-France,2,Private room,1,1,0,30 ,15,200,7,60,8
92%,,2.00,48.84694,2.38803,Paris,75012,Île-de-France,3,Entire home/apt,1,1,2,130 ,35,0,2,30,19
100%,,3.00,48.86782,2.37434,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,40 ,40,,2,1125,99
100%,,1.00,48.82428,2.36825,Paris,75013,Île-de-France,2,Private room,1,1,1,85 ,,,2,31,15
,,4.00,48.87515,2.34402,Paris,75009,Île-de-France,8,Entire home/apt,3,1,4,49 ,70,300,2,1125,4
,,1.00,48.8904,2.34388,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,254 ,25,2000,2,1125,2
100%,,1.00,48.85791,2.38504,Paris,75011,Île-de-France,4,Entire home/apt,0,1,2,69 ,39,200,2,1125,109
100%,,1.00,48.85723,2.35655,Paris,75004,Île-de-France,2,Entire home/apt,1,1,1,150 ,50,600,3,1125,70
100%,,2.00,48.85236,2.33708,Paris,75006,Île-de-France,2,Entire home/apt,0,1,1,83 ,65,400,30,305,32
100%,,1.00,48.84429,2.33838,Paris,75005,Île-de-France,1,Private room,1,1,1,65 ,,200,1,1125,181
100%,,1.00,48.8682,2.39722,Paris,75020,Île-de-France,4,Entire home/apt,1,1,2,80 ,20,500,3,15,0
100%,,2.00,48.88202,2.37031,Paris,75019,Île-de-France,4,Entire home/apt,1,1,2,99 ,,200,2,25,119
90%,,1.00,48.85473,2.32722,Paris,75007,Île-de-France,2,Entire home/apt,1,1,1,89 ,65,400,5,1125,29
100%,,1.00,48.86574,2.2817,Paris,75016,Île-de-France,2,Entire home/apt,1,1,1,58 ,60,80,30,305,27
100%,,2.00,48.87044,2.36268,Paris,75010,Île-de-France,5,Entire home/apt,3,1,0,110 ,40,300,5,21,13
,,1.00,48.89252,2.36284,Paris,75018,Île-de-France,3,Entire home/apt,0,1,1,300 ,10,100,5,1125,1
100%,,1.00,48.83016,2.30791,Paris,75014,Île-de-France,2,Entire home/apt,1,1,0,59 ,,300,3,45,18
89%,,1.00,48.8965,2.31881,Paris,75017,Île-de-France,3,Entire home/apt,2,1,2,65 ,,,2,7,14
20%,,1.00,48.88086,2.38786,Paris,75019,Île-de-France,3,Entire home/apt,0,0.5,2,55 ,20,250,3,1125,0
,,1.00,48.86604,2.34635,Paris,75002,Île-de-France,2,Entire home/apt,0,1,1,50 ,40,250,30,1125,5
,,1.00,48.84617,2.37121,Paris,75012,Île-de-France,2,Entire home/apt,0,1,1,99 ,20,100,2,1125,2
75%,,1.00,48.85537,2.36707,Paris,75004,Île-de-France,6,Entire home/apt,2,1,0,290 ,80,,3,360,38
100%,,3.00,48.85756,2.31905,Paris,75007,Île-de-France,1,Entire home/apt,0,1,1,45 ,,300,28,1125,8
80%,,1.00,48.85435,2.31847,Paris,75007,Île-de-France,2,Entire home/apt,1,1,0,44 ,200,708,21,90,22
,,1.00,48.87416,2.37196,Paris,75011,Île-de-France,3,Entire home/apt,1,1,2,70 ,15,150,1,1125,35
100%,,3.00,48.89894,2.34723,Paris,75018,Île-de-France,2,Private room,1,1,1,39 ,18,99,3,1125,96
33%,,7.00,48.85566,2.38772,Paris,75011,Île-de-France,2,Entire home/apt,0,1,1,50 ,50,500,30,305,0
100%,,1.00,48.85673,2.3808,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,79 ,50,300,14,1124,23
,,1.00,48.82849,2.33185,Paris,75014,Île-de-France,2,Entire home/apt,0,1,1,55 ,,,2,1125,27
80%,,1.00,48.8518,2.38375,Paris,75012,Île-de-France,4,Entire home/apt,2,1,0,205 ,,600,6,15,16
100%,,2.00,48.88725,2.3341,Paris,75018,Île-de-France,5,Entire home/apt,2,1,2,140 ,60,600,4,120,49
,,1.00,48.85282,2.39347,Paris,75011,Île-de-France,4,Entire home/apt,1,1,2,45 ,,,2,1125,24
100%,,5.00,48.86253,2.38633,Paris,75011,IDF,2,Private room,1,1,1,39 ,15,500,2,365,333
100%,,1.00,48.86491,2.34082,Paris,75001,Île-de-France,6,Entire home/apt,3,1,4,180 ,40,350,3,365,33
100%,,34.00,48.86432,2.34973,Paris,75002,Île-de-France,2,Entire home/apt,0,1,1,109 ,50,300,4,366,5
,,1.00,48.84481,2.35422,Paris,75005,Île-de-France,2,Entire home/apt,1,1,1,90 ,30,300,3,1125,0
100%,,1.00,48.86093,2.38461,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,50 ,30,200,90,1124,18
100%,,1.00,48.88039,2.36356,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,59 ,,100,4,14,10
100%,,1.00,48.86778,2.39172,Paris,75020,Île-de-France,2,Entire home/apt,1,1,2,50 ,5,0,1,14,8
100%,,1.00,48.87586,2.37266,Paris,75010,Île-de-France,4,Entire home/apt,1,1,2,68 ,45,200,3,1125,70
100%,,1.00,48.85124,2.34941,Paris,75005,Île-de-France,3,Entire home/apt,0,1,3,69 ,20,300,3,31,243
79%,,2.00,48.85128,2.38729,Paris,75011,Île-de-France,5,Entire home/apt,2,1.5,2,114 ,30,800,2,1125,68
100%,,2.00,48.84845,2.31757,Paris,75007,Île-de-France,2,Entire home/apt,1,1,1,230 ,30,500,3,40,3
,,1.00,48.84287,2.30827,Paris,75015,Île-de-France,1,Private room,1,1,1,40 ,7,,1,1125,2
,,1.00,48.87915,2.29128,Paris,75017,Île-de-France,2,Entire home/apt,0,1,1,88 ,,,2,1125,12
100%,,1.00,48.86268,2.40373,Paris,75020,Île-de-France,6,Entire home/apt,2,1,4,130 ,50,200,6,90,44
67%,,1.00,48.83965,2.40326,Paris,75012,Île-de-France,4,Entire home/apt,1,1,2,105 ,50,1200,6,1125,4
100%,,1.00,48.84308,2.25975,Paris,75016,Île-de-France,2,Private room,1,1,2,60 ,20,150,2,1125,17
100%,,2.00,48.88868,2.39882,Le Pré-Saint-Gervais,93310,Île-de-France,2,Private room,1,1,1,27 ,15,90,4,6,84
100%,,4.00,48.87256,2.31541,Paris,75008,Île-de-France,4,Entire home/apt,1,1,2,200 ,75,300,2,1125,143
100%,,2.00,48.84109,2.40115,Paris,75012,Île-de-France,3,Entire home/apt,0,1,0,75 ,0,800,3,1125,16
80%,,1.00,48.86244,2.36213,PARIS 3eme,75003,Île-de-France,4,Entire home/apt,2,1,2,190 ,50,200,3,65,119
,,1.00,48.83427,2.30214,Paris,75015,Île-de-France,3,Entire home/apt,3,1,2,85 ,25,200,4,1125,8
100%,,2.00,48.86602,2.34783,Paris,75002,Île-de-France,2,Private room,1,1,1,60 ,,,10,1125,0
92%,,2.00,48.88794,2.34877,Paris,75018,Île-de-France,4,Entire home/apt,1,1,1,99 ,30,300,1,30,21
,,1.00,48.87021,2.38991,Paris,75020,Île-de-France,3,Entire home/apt,1,1,2,85 ,35,300,5,1125,3
100%,,1.00,48.89482,2.34561,Paris,75018,Île-de-France,2,Entire home/apt,0,0.5,1,89 ,0,1800,1,1125,3
,,1.00,48.82944,2.33315,Paris,75014,Île-de-France,3,Entire home/apt,1,1,1,75 ,60,500,5,80,5
100%,,2.00,48.88057,2.3277,Paris,75009,Paris,4,Entire home/apt,1,1,2,119 ,40,300,4,1125,206
100%,,1.00,48.85411,2.33888,Paris,75006,Île-de-France,2,Entire home/apt,0,1,1,79 ,35,0,2,365,282
,,1.00,48.87757,2.34698,Paris,75010,Île-de-France,4,Entire home/apt,1,1,1,100 ,60,400,7,365,1
100%,,2.00,48.85865,2.37818,Paris,75011,Île-de-France,1,Private room,1,1,1,45 ,10,85,5,1125,37
100%,,2.00,48.8895,2.37568,Paris,75019,Île-de-France,2,Entire home/apt,1,1,1,55 ,30,300,3,15,5
,,1.00,48.88194,2.33132,Paris,75009,Île-de-France,4,Entire home/apt,2,1,3,140 ,64,300,2,1125,46
100%,,1.00,48.868,2.38372,Paris,75010,Île-de-France,5,Entire home/apt,2,1,4,95 ,60,300,4,365,33
90%,,1.00,48.88584,2.32211,Paris,75017,Île-de-France,4,Entire home/apt,2,1,3,98 ,60,200,3,1125,105
100%,,1.00,48.85856,2.37833,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,100 ,20,500,2,40,3
100%,,2.00,48.88497,2.33358,Paris,75017,Île-de-France,2,Entire home/apt,1,1,1,60 ,,250,7,31,26
,,1.00,48.84728,2.27338,Paris,75016,Île-de-France,2,Entire home/apt,0,1,1,70 ,25,,5,1125,14
100%,,1.00,48.86799,2.35816,Paris,75003,Île-de-France,2,Entire home/apt,1,1,1,105 ,50,250,5,15,54
90%,,1.00,48.85755,2.36811,Paris,75003,Île-de-France,2,Entire home/apt,1,1,0,120 ,20,500,4,20,41
100%,,1.00,48.87245,2.34981,Paris,75009,Île-de-France,2,Private room,1,1,1,53 ,34,200,3,1125,133
100%,,1.00,48.8679,2.3343,Paris,75002,Île-de-France,1,Private room,1,1,1,46 ,15,150,1,1125,451
100%,,1.00,48.84317,2.35135,Paris,75005,Île-de-France,7,Entire home/apt,4,1,4,230 ,81,1000,3,15,70
77%,,3.00,48.87175,2.28909,Paris,75116,Île-de-France,2,Entire home/apt,1,1.5,2,120 ,60,500,5,1125,20
100%,,2.00,48.85884,2.34978,Paris,75004,Île-de-France,4,Entire home/apt,2,2,3,300 ,0,1500,3,31,129
98%,,27.00,48.87273,2.34857,Paris,75010,Île-de-France,2,Entire home/apt,1,1,0,80 ,50,400,4,1125,84
98%,,27.00,48.86501,2.34672,Paris,75002,Île-de-France,4,Entire home/apt,2,2,2,300 ,50,300,4,30,131
98%,,27.00,48.86721,2.34158,Paris,75002,Île-de-France,2,Entire home/apt,0,1,1,160 ,60,400,4,30,66
100%,,2.00,48.84787,2.29598,Paris,75015,Île-de-France,6,Entire home/apt,4,2,4,250 ,140,2000,3,30,30
,,1.00,48.87474,2.35316,Paris,75010,Île-de-France,1,Private room,1,1,1,44 ,,,3,30,86
100%,,1.00,48.82663,2.3247,Paris,75014,Île-de-France,4,Entire home/apt,1,1,2,120 ,40,300,7,1125,2
100%,,1.00,48.8418,2.38376,Paris,75012,Île-de-France,1,Private room,1,1,1,40 ,20,0,2,4,95
98%,,27.00,48.85961,2.3671,Paris,75003,Île-de-France,2,Entire home/apt,0,1,0,160 ,50,350,4,240,37
,,1.00,48.88531,2.32725,Paris,,Île-de-France,4,Entire home/apt,1,1,1,85 ,20,200,2,1125,2
100%,,2.00,48.8694,2.35015,Paris,75002,Île-de-France,1,Private room,1,1,0,49 ,25,0,5,1125,36
,,2.00,48.84479,2.33943,Paris,75005,Île-de-France,3,Entire home/apt,1,1,2,125 ,35,250,1,1125,54
,,1.00,48.85976,2.34579,Paris,75001,Île-de-France,5,Private room,2,1,3,89 ,40,300,1,1125,5
100%,,1.00,48.86272,2.37822,Paris,75011,Île-de-France,3,Entire home/apt,0,1,1,55 ,30,200,1,1125,414
100%,,1.00,48.83423,2.28458,Issy-les-Moulineaux,92130,Île-de-France,3,Entire home/apt,1,1,3,85 ,20,,5,90,51
,,1.00,48.8686,2.36994,Paris,75011,Île-de-France,6,Entire home/apt,3,1,3,115 ,120,1000,120,1125,1
,,1.00,48.85861,2.35516,Paris,75004,Île-de-France,2,Entire home/apt,1,1,1,129 ,40,250,4,1125,70
,,1.00,48.89406,2.38469,Paris,75019,Île-de-France,6,Entire home/apt,2,1,3,85 ,50,400,7,60,5
50%,,1.00,48.87128,2.39026,Paris,75020,Île-de-France,2,Entire home/apt,0,1,1,65 ,15,250,1,70,47
71%,,1.00,48.83647,2.31922,Paris,,Île-de-France,2,Entire home/apt,1,1,1,78 ,30,400,30,120,98
,,1.00,48.85932,2.34825,Paris,75001,Île-de-France,2,Entire home/apt,0,1,2,65 ,20,100,5,1125,35
100%,,1.00,48.85523,2.37704,Paris,75011,Île-de-France,6,Entire home/apt,2,2,3,170 ,50,600,3,1125,66
,,1.00,48.86975,2.37308,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,60 ,20,200,1,1125,0
100%,,2.00,48.88854,2.34373,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,82 ,25,150,1,8,296
100%,,4.00,48.87935,2.35055,Paris,75009,Île-de-France,4,Entire home/apt,0,1,2,47 ,29,90,1,365,412
33%,,1.00,48.88328,2.29367,Paris,75017,Île-de-France,2,Entire home/apt,1,1,1,70 ,10,,1,1125,13
,,1.00,48.83071,2.30411,Paris,75015,Île-de-France,2,Entire home/apt,1,1,0,75 ,60,600,5,1125,17
,,1.00,48.87834,2.34909,Paris,75009,Île-de-France,4,Entire home/apt,3,1,3,180 ,40,,4,1125,5
100%,,1.00,48.85545,2.37722,Paris,75011,Île-de-France,4,Entire home/apt,1,1,2,110 ,60,800,3,20,17
90%,,2.00,48.88511,2.36068,Paris,75018,Île-de-France,6,Entire home/apt,2,1,1,90 ,,300,2,1125,38
100%,,2.00,48.87246,2.37141,Paris,75010,Île-de-France,6,Entire home/apt,2,1,0,69 ,40,300,7,365,11
100%,,5.00,48.8807,2.35497,Deuil-la-Barre,95170,Île-de-France,2,Private room,1,1,1,19 ,15,100,2,1125,256
90%,,2.00,48.85874,2.35468,Paris,75004,Île-de-France,4,Entire home/apt,2,2,3,200 ,60,500,3,1125,198
,,1.00,48.8683,2.40295,Paris,75020,Île-de-France,4,Entire home/apt,1,1,2,64 ,15,100,1,1125,3
100%,,5.00,48.88226,2.35534,Deuil-la-Barre ,95170,Île-de-France,2,Shared room,1,1,2,14 ,15,100,2,1125,217
100%,,1.00,48.85897,2.34891,Paris,75001,Île-de-France,6,Entire home/apt,2,1.5,3,250 ,40,300,3,1125,169
,,1.00,48.88469,2.38083,Paris,75019,Île-de-France,4,Entire home/apt,1,1,2,55 ,,1000,3,1125,5
,,1.00,48.88257,2.34068,Paris,75018,Île-de-France,4,Entire home/apt,3,1,3,200 ,50,1500,7,1125,0
100%,,1.00,48.87474,2.34045,Paris,75009,Île-de-France,4,Entire home/apt,2,1,2,297 ,,,4,1125,66
,,1.00,48.84058,2.29293,Paris,75015,Île-de-France,1,Private room,1,1,1,30 ,,,1,1125,3
,,1.00,48.88034,2.39123,Paris,75019,Île-de-France,6,Entire home/apt,4,2,4,290 ,50,500,4,1125,3
80%,,1.00,48.84812,2.39846,Paris,75020,Île-de-France,4,Entire home/apt,0,1,1,70 ,70,400,3,31,25
100%,,1.00,48.87065,2.34755,Paris,75002,Île-de-France,2,Entire home/apt,0,1,0,99 ,45,300,1,30,46
,,1.00,48.83213,2.32247,Paris,75014,Île-de-France,2,Entire home/apt,0,1,1,60 ,,300,1,1125,5
100%,,1.00,48.88271,2.38609,Paris,75019,Île-de-France,2,Entire home/apt,1,1,0,75 ,30,2000,15,1125,14
100%,,1.00,48.86283,2.37394,Paris,75011,Île-de-France,4,Entire home/apt,1,1,2,90 ,0,500,30,305,72
67%,,1.00,48.84982,2.36523,Paris,75004,Île-de-France,4,Entire home/apt,2,1.5,3,190 ,50,400,3,50,31
,,2.00,48.84747,2.29978,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,95 ,50,300,3,365,5
100%,,1.00,48.85187,2.39709,Paris,75020,Île-de-France,6,Entire home/apt,4,1,4,175 ,50,250,3,60,37
100%,,3.00,48.89978,2.34842,Paris,75018,Île-de-France,2,Private room,1,1,1,37 ,18,99,3,1125,66
100%,,1.00,48.84527,2.30877,Paris,75015,Île-de-France,5,Entire home/apt,2,1,2,75 ,20,,4,1125,20
100%,,1.00,48.88721,2.29428,Paris,,Île-de-France,4,Entire home/apt,2,1,2,160 ,80,300,1,1125,3
90%,,1.00,48.88513,2.36432,Paris,75018,Île-de-France,4,Entire home/apt,1,1,2,55 ,30,500,3,40,31
100%,,1.00,48.85644,2.3845,Paris,75011,Île-de-France,4,Entire home/apt,2,1,2,150 ,60,1000,7,1125,36
,,1.00,48.8828,2.34088,Paris,75009,Île-de-France,6,Entire home/apt,2,1.5,5,95 ,50,900,3,1125,1
100%,,1.00,48.82818,2.33604,Paris,75014,Île-de-France,2,Entire home/apt,0,1,1,65 ,36,,3,21,46
,,1.00,48.87622,2.32212,Paris,75008,Île-de-France,2,Entire home/apt,0,1,1,66 ,,600,5,1125,12
,,1.00,48.85987,2.34392,Paris,75001,Île-de-France,4,Entire home/apt,2,1,2,140 ,280,1000,1,1125,39
56%,,2.00,48.89,2.32757,Paris,75018,Île-de-France,2,Entire home/apt,1,1.5,0,55 ,20,400,2,45,4
56%,,2.00,48.89016,2.32747,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,45 ,20,400,3,30,4
75%,,1.00,48.85181,2.35825,Paris,75004,Île-de-France,5,Entire home/apt,2,1,3,280 ,75,2000,3,1125,18
100%,,1.00,48.86007,2.32489,Paris,75007,Île-de-France,3,Entire home/apt,1,1,2,190 ,10,400,3,1125,83
100%,,1.00,48.89013,2.32469,Paris,75017,Île-de-France,1,Private room,1,1,1,30 ,,100,2,8,55
100%,,2.00,48.84349,2.33292,Paris,75006,Île-de-France,6,Entire home/apt,3,2.5,4,700 ,400,3000,5,1125,1
92%,,3.00,48.86153,2.34434,Paris,75001,Île-de-France,8,Entire home/apt,3,2,5,420 ,215,900,1,1125,67
100%,,1.00,48.83138,2.32911,Paris,75014,Île-de-France,1,Private room,1,1,1,25 ,,,5,1125,19
,,1.00,48.85011,2.37429,Paris,75012,Île-de-France,4,Entire home/apt,1,1,2,90 ,50,500,3,29,3
100%,,1.00,48.87984,2.28645,Paris,75017,Île-de-France,2,Entire home/apt,1,1,2,100 ,0,0,3,1125,67
,,1.00,48.87109,2.32908,Paris,75009,Île-de-France,6,Entire home/apt,4,2,5,380 ,60,400,3,10,0
