host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
100%,,1.00,48.82481,2.32332,Paris,75014,Ile-de-France,4,Entire home/apt,1,1,2,150 ,,300,4,730,43
100%,,1.00,48.8912,2.33447,Paris,75018,Ile-de-France,2,Entire home/apt,1,1,1,250 ,80,1000,2,365,87
100%,,1.00,48.85043,2.37111,Paris,75012,Ile-de-France,3,Private room,1,1,2,60 ,15,150,3,30,342
100%,,2.00,48.85387,2.3244,Paris,75007,Ile-de-France,2,Entire home/apt,1,1.5,1,132 ,30,0,1,10,490
,,2.00,48.85145,2.38703,Paris,75011,Ile-de-France,5,Entire home/apt,2,1,3,110 ,50,200,6,60,15
100%,,1.00,48.83613,2.40176,Paris,75012,Ile-de-France,2,Private room,1,1,1,32 ,,,3,10,87
33%,,1.00,48.88047,2.39408,Paris,75019,Île-de-France,1,Entire home/apt,1,0,1,50 ,15,200,20,60,36
,,1.00,48.88257,2.38782,Paris,75019,Ile-de-France,4,Entire home/apt,3,2,4,1800 ,,200,1,28,29
100%,,1.00,48.84106,2.28245,Paris,75015,Île-de-France,7,Entire home/apt,2,1.5,4,110 ,0,1000,14,365,49
100%,,1.00,48.86511,2.36675,Paris,75011,Ile-de-France,2,Private room,1,1,0,50 ,,,4,30,20
,,1.00,48.83344,2.34601,Paris,75013,Île-de-France,4,Entire home/apt,2,1.5,2,99 ,,,3,15,202
60%,,1.00,48.8493,2.39022,Paris,75011,Ile-de-France,2,Entire home/apt,1,1,1,59 ,15,,5,365,38
100%,,1.00,48.85172,2.35504,Paris,75004,Ile-de-France,4,Entire home/apt,1,1.5,2,922 ,134,447,2,365,34
100%,,1.00,48.88745,2.34695,Paris,75018,Île-de-France,5,Entire home/apt,2,1.5,4,140 ,80,500,2,365,336
100%,,1.00,48.87064,2.3451,Paris,75002,Ile-de-France,2,Private room,1,1,1,90 ,,,4,30,52
80%,,2.00,48.85672,2.37771,Paris,75011,Ile-de-France,4,Entire home/apt,1,1,1,139 ,35,500,7,365,11
100%,,2.00,48.85362,2.36336,Paris,75004,Ile-de-France,2,Entire home/apt,1,1,1,95 ,54,134,2,60,20
100%,,1.00,48.87549,2.37224,Paris,75010,Ile-de-France,2,Entire home/apt,1,1,1,75 ,,,4,15,65
,,1.00,48.82515,2.3627,Paris,75013,Ile-de-France,2,Private room,1,1,1,98 ,,,3,12,6
100%,,1.00,48.85768,2.35545,Paris,75004,Île-de-France,4,Entire home/apt,1,1,0,175 ,50,500,4,25,73
100%,,1.00,48.86091,2.36529,Paris,75003,Île-de-France,2,Entire home/apt,1,1.5,1,166 ,40,1200,2,14,175
,,2.00,48.8693,2.37163,Paris,75010,Ile-de-France,2,Entire home/apt,1,,1,79 ,70,1200,5,500,9
100%,,1.00,48.8783,2.33966,Paris,75009,Île-de-France,2,Entire home/apt,1,1,1,75 ,30,250,3,1125,72
78%,,1.00,48.88868,2.37544,Paris,75019,Ile-de-France,4,Entire home/apt,1,1.5,3,78 ,30,400,1,300,51
100%,,1.00,48.88747,2.32604,Paris,75018,Ile-de-France,4,Entire home/apt,1,1,2,150 ,20,500,3,7,63
100%,,3.00,48.86579,2.37937,Paris,75011,Île-de-France,4,Entire home/apt,2,1,3,140 ,,250,5,730,10
83%,,1.00,48.86965,2.36719,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,60 ,30,500,28,360,7
65%,,93.00,48.88487,2.34445,Paris,75018,Ile-de-France,4,Entire home/apt,1,1,3,155 ,70,900,6,365,2
65%,,93.00,48.85329,2.35978,Paris,75004,,6,Entire home/apt,2,1,4,215 ,90,990,3,27,40
65%,,93.00,48.85494,2.36297,Paris,75004,,4,Entire home/apt,1,1,2,158 ,70,900,2,25,44
100%,,2.00,48.87095,2.35622,Paris,75010,Ile-de-France,4,Entire home/apt,1,1,2,92 ,80,130,2,20,27
,,1.00,48.87564,2.38717,Paris,75019,Ile-de-France,2,Private room,1,1,1,63 ,,,3,730,0
100%,,2.00,48.89078,2.3601,Paris,75018,Ile-de-France,2,Private room,1,1,1,34 ,9,200,3,1125,55
,,1.00,48.86603,2.34019,Paris,75002,Île-de-France,4,Entire home/apt,1,1.5,1,109 ,30,150,5,25,33
,,1.00,48.85716,2.39633,Paris,75020,Ile-de-France,2,Entire home/apt,1,1,1,60 ,30,200,5,30,33
71%,,1.00,48.84299,2.25845,Paris,75016,Île-de-France,3,Entire home/apt,2,1,2,130 ,40,800,5,30,50
65%,,93.00,48.86563,2.33244,Paris,75001,Ile-de-France,4,Entire home/apt,1,1,3,175 ,70,900,2,25,28
65%,,93.00,48.85316,2.36302,Paris,75004,Ile-de-France,4,Entire home/apt,1,1,2,165 ,60,500,30,1125,37
65%,,93.00,48.87204,2.30966,Paris,75008,Ile-de-France,5,Entire home/apt,1,1,4,190 ,70,900,3,25,26
,,1.00,48.85715,2.3573,Paris,75004,Ile-de-France,2,Entire home/apt,1,1,1,110 ,35,300,30,305,109
,,4.00,48.88752,2.34536,Paris,75018,Ile-de-France,4,Entire home/apt,,1,1,85 ,,,270,730,33
100%,,1.00,48.85793,2.35864,Paris,75004,Ile-de-France,4,Entire home/apt,2,1.5,3,320 ,80,1000,2,1125,15
100%,,1.00,48.87851,2.37161,Paris,75019,Ile-de-France,3,Entire home/apt,1,1,2,85 ,40,400,3,90,2
